h3_index,h3_boundaries
89186b6d86fffff,"((44.839922148484305, -0.6433260719029629), (44.83882434727408, -0.6452045013732605), (44.83700660845641, -0.6447990734850095), (44.83628669409128, -0.6425153429869365), (44.83738447293523, -0.6406369880088075), (44.83920218850949, -0.6410422890367325))"
89186b6d867ffff,"((44.840299894806726, -0.6391638536919598), (44.83920218850949, -0.6410422890367325), (44.83738447293523, -0.6406369880088075), (44.83666448690879, -0.6383533784940029), (44.837762170846204, -0.6364750176553776), (44.83957986316881, -0.6368801918255591))"
89186b6d863ffff,"((44.842837589023645, -0.6418529619431464), (44.841739860363575, -0.6437314717912388), (44.839922148484305, -0.6433260719029629), (44.83920218850949, -0.6410422890367325), (44.840299894806726, -0.6391638536919598), (44.842117583440526, -0.6395691267102441))"
89186b6d82bffff,"((44.84067747455567, -0.6350017506271951), (44.83957986316881, -0.6368801918255591), (44.837762170846204, -0.6364750176553776), (44.83704211316928, -0.6341915291421264), (44.83813970220278, -0.6323131624638627), (44.83995737126546, -0.6327182097788961))"
89186b6d823ffff,"((44.841054887744534, -0.630839762747802), (44.83995737126546, -0.6327182097788961), (44.83813970220278, -0.6323131624638627), (44.837419572886205, -0.6300297949704213), (44.838517067018365, -0.6281514224733997), (44.840334712812904, -0.6285563429358836))"
89186b6d837ffff,"((44.84143213438675, -0.6266778900929141), (44.840334712812904, -0.6285563429358836), (44.838517067018365, -0.6281514224733997), (44.83779686607298, -0.6258681760180563), (44.83889426530638, -0.623989797723122), (44.84071188782452, -0.6243945913356422))"
89186b6d9cbffff,"((44.83889426530638, -0.623989797723122), (44.83779686607298, -0.6258681760180563), (44.83597921661475, -0.6254633543630118), (44.83525898967141, -0.6231802812508914), (44.83635636656736, -0.6213019775067913), (44.83817399274302, -0.6217066723241299))"
89186b6d9dbffff,"((44.84180921449576, -0.6225161327016873), (44.84071188782452, -0.6243945913356422), (44.83889426530638, -0.623989797723122), (44.83817399274302, -0.6217066723241299), (44.839271297080266, -0.6198282882521443), (44.84108889631377, -0.6202329550173215))"
89186b6d9c3ffff,"((44.839271297080266, -0.6198282882521443), (44.83817399274302, -0.6217066723241299), (44.83635636656736, -0.6213019775067913), (44.83563606801866, -0.6190190254527238), (44.83673335002492, -0.6171407159455349), (44.83855095290977, -0.6175452839277756))"
89186b6d9d3ffff,"((44.842186128085, -0.6183544906132106), (44.84108889631377, -0.6202329550173215), (44.839271297080266, -0.6198282882521443), (44.83855095290977, -0.6175452839277756), (44.83964816235347, -0.6156668940995935), (44.84146573829409, -0.6160714340200198))"
89186b6d9d7ffff,"((44.83964816235347, -0.6156668940995935), (44.83855095290977, -0.6175452839277756), (44.83673335002492, -0.6171407159455349), (44.836012979881716, -0.614857884967767), (44.83711016700087, -0.6129795697183411), (44.83892774658668, -0.6133840108680794))"
89186b6dd6fffff,"((44.84256287516789, -0.6141929638666366), (44.84146573829409, -0.6160714340200198), (44.83964816235347, -0.6156668940995935), (44.83892774658668, -0.6133840108680794), (44.840024861139405, -0.6115056153045842), (44.8418424137789, -0.611910028382871))"
89186b6d99bffff,"((44.840024861139405, -0.6115056153045842), (44.83892774658668, -0.6133840108680794), (44.83711016700087, -0.6129795697183411), (44.836389725273996, -0.6106968598351135), (44.83748681750866, -0.6088185388643085), (44.83930437378718, -0.6092228531841618))"
89186b6dd67ffff,"((44.8429394557579, -0.6100315525010575), (44.8418424137789, -0.611910028382871), (44.840024861139405, -0.6115056153045842), (44.83930437378718, -0.6092228531841618), (44.840401393451536, -0.6073444519061959), (44.84221892278168, -0.6077487381449416))"
89186b6d993ffff,"((44.840401393451536, -0.6073444519061959), (44.83930437378718, -0.6092228531841618), (44.83748681750866, -0.6088185388643085), (44.83676630420895, -0.6065359500938805), (44.83786330156172, -0.6046576234225388), (44.83968083452469, -0.6050618109151344))"
89186b6dd2bffff,"((44.84331586986847, -0.6058702565555814), (44.84221892278168, -0.6077487381449416), (44.840401393451536, -0.6073444519061959), (44.83968083452469, -0.6050618109151344), (44.840777759303315, -0.6031834039435303), (44.84259526531586, -0.6035875633453748))"
89186b6dd2fffff,"((44.840777759303315, -0.6031834039435303), (44.83968083452469, -0.6050618109151344), (44.83786330156172, -0.6046576234225388), (44.83714271670002, -0.6023751557831415), (44.83823961917349, -0.6004968234320924), (44.8400571288127, -0.600900884100051))"
89186b6dd23ffff,"((44.843692117513044, -0.6017090760693068), (44.84259526531586, -0.6035875633453748), (44.840777759303315, -0.6031834039435303), (44.8400571288127, -0.600900884100051), (44.84115395870819, -0.5990224714556828), (44.84297144139488, -0.5994265040232404))"
89186b6dd27ffff,"((44.84115395870819, -0.5990224714556828), (44.8400571288127, -0.600900884100051), (44.83823961917349, -0.6004968234320924), (44.837518962760655, -0.5982144769419664), (44.83861577035744, -0.596336138932103), (44.840433256664646, -0.5967400727780231))"
